,B-BL,FB-NXL,FB-NL,FB-PXL,FB-PL,FB-PS,FDN-N,FDN-P,FS-NL,FBX-N,FBX-P,FST-C,FST-N,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-BE,F-CH,F-DU
2024-09-11,30.644444444444495,31.0,0,0,445.04444444444374,599.055555555555,119.57777777777784,109.80000000000008,171.38888888888874,91.4555555555553,0.0,166.4333333333335,284.53333333333325,185.69999999999987,213.4222222222221,187.16666666666677,190.71111111111122,2299.0,0,0.0,12.611111111111093
2024-09-12,29.933333333333383,4.0,0,0,429.13333333333264,589.6666666666661,112.26666666666672,101.60000000000008,168.66666666666652,82.86666666666642,0.0,159.80000000000018,277.5999999999999,184.39999999999986,212.26666666666654,186.0000000000001,189.8666666666668,2272.0,0,0.0,12.333333333333314
2024-09-13,29.22222222222227,0.0,0,0,413.22222222222155,580.2777777777771,104.9555555555556,93.40000000000008,165.9444444444443,74.27777777777753,0.0,153.16666666666686,270.6666666666666,183.09999999999985,211.11111111111097,184.83333333333346,189.02222222222235,2245.0,0,0.0,12.055555555555536
2024-09-14,28.51111111111116,0.0,0,0,397.31111111111045,570.8888888888882,97.64444444444449,85.20000000000007,163.22222222222206,65.68888888888864,0.0,146.53333333333353,263.73333333333323,181.79999999999984,209.9555555555554,183.6666666666668,188.17777777777792,2218.0,0,0.0,11.777777777777757
2024-09-15,27.800000000000047,0.0,0,0,381.39999999999935,561.4999999999993,90.33333333333337,77.00000000000007,160.49999999999983,57.09999999999975,0.0,139.9000000000002,256.7999999999999,180.49999999999983,208.79999999999984,182.50000000000014,187.33333333333348,2191.0,0,0.0,11.499999999999979
2024-09-16,27.088888888888935,0.0,0,0,365.48888888888825,552.1111111111104,83.02222222222225,68.80000000000007,157.7777777777776,48.511111111110864,0.0,133.26666666666688,249.86666666666656,179.19999999999982,207.64444444444428,181.33333333333348,186.48888888888905,2164.0,0,0.0,11.2222222222222
2024-09-17,26.377777777777823,0.0,0,0,349.57777777777716,542.7222222222215,75.71111111111114,60.600000000000065,155.05555555555537,39.922222222221976,0.0,126.63333333333354,242.93333333333322,177.8999999999998,206.4888888888887,180.16666666666683,185.64444444444462,2137.0,0,0.0,10.944444444444422
2024-09-18,25.66666666666671,0.0,0,0,333.66666666666606,533.3333333333326,68.40000000000002,52.40000000000006,152.33333333333314,31.333333333333087,0.0,120.0000000000002,235.9999999999999,176.5999999999998,205.33333333333314,179.00000000000017,184.80000000000018,2110.0,0,0.0,10.666666666666643
2024-09-19,24.9555555555556,0.0,0,0,317.75555555555496,523.9444444444437,61.08888888888891,44.20000000000006,149.61111111111092,22.7444444444442,0.0,113.36666666666686,229.06666666666655,175.29999999999978,204.17777777777758,177.8333333333335,183.95555555555575,2083.0,0,0.0,10.388888888888864
2024-09-20,24.244444444444486,0.0,0,0,301.84444444444387,514.5555555555547,53.7777777777778,36.00000000000006,146.8888888888887,14.15555555555531,0.0,106.73333333333352,222.1333333333332,173.99999999999977,203.022222222222,176.66666666666686,183.1111111111113,2056.0,0,0.0,10.111111111111086
2024-09-21,23.533333333333374,0.0,0,0,285.93333333333277,505.16666666666583,46.46666666666669,27.800000000000058,144.16666666666646,5.566666666666421,0.0,100.10000000000018,215.19999999999987,172.69999999999976,201.86666666666645,175.5000000000002,182.26666666666688,2029.0,0,0.0,9.833333333333307
2024-09-22,22.822222222222262,0.0,0,0,270.02222222222167,495.7777777777769,39.15555555555558,19.60000000000006,141.44444444444423,0.0,0.0,93.46666666666684,208.26666666666654,171.39999999999975,200.71111111111088,174.33333333333354,181.42222222222244,2002.0,0,0.0,9.555555555555529
2024-09-23,22.11111111111115,0.0,0,0,254.11111111111057,486.388888888888,31.84444444444447,11.400000000000059,138.722222222222,0.0,0.0,86.8333333333335,201.3333333333332,170.09999999999974,199.55555555555532,173.16666666666688,180.577777777778,1975.0,0,0.0,9.27777777777775
2024-09-24,21.400000000000038,0.0,0,0,238.19999999999948,476.9999999999991,24.53333333333336,3.2000000000000597,135.99999999999977,0.0,0.0,80.20000000000016,194.39999999999986,168.79999999999973,198.39999999999975,172.00000000000023,179.73333333333358,1948.0,0,0.0,8.999999999999972
2024-09-25,20.688888888888926,0.0,0,0,222.28888888888838,467.6111111111102,17.22222222222225,0.0,133.27777777777754,0.0,0.0,73.56666666666682,187.46666666666653,167.49999999999972,197.24444444444418,170.83333333333357,178.88888888888914,1921.0,0,0.0,8.722222222222193
2024-09-26,19.977777777777813,0.0,0,0,206.37777777777728,458.22222222222126,9.91111111111114,0.0,130.55555555555532,0.0,0.0,66.93333333333348,180.5333333333332,166.1999999999997,196.08888888888862,169.6666666666669,178.0444444444447,1894.0,0,0.0,8.444444444444414
2024-09-27,19.2666666666667,0.0,0,0,190.46666666666619,448.83333333333235,2.600000000000029,0.0,127.83333333333309,0.0,0.0,60.300000000000146,173.59999999999985,164.8999999999997,194.93333333333305,168.50000000000026,177.20000000000027,1867.0,0,0.0,8.166666666666636
2024-09-28,18.55555555555559,0.0,0,0,174.5555555555551,439.44444444444343,0.0,0.0,125.11111111111086,0.0,0.0,53.66666666666681,166.66666666666652,163.59999999999968,193.7777777777775,167.3333333333336,176.35555555555584,1840.0,0,0.0,7.888888888888858
2024-09-29,17.844444444444477,0.0,0,0,158.644444444444,430.0555555555545,0.0,0.0,122.38888888888863,0.0,0.0,47.03333333333348,159.73333333333318,162.29999999999967,192.62222222222192,166.16666666666694,175.5111111111114,1813.0,0,0.0,7.6111111111110805
2024-09-30,17.133333333333365,0.0,0,0,142.7333333333329,420.6666666666656,0.0,0.0,119.6666666666664,0.0,0.0,40.40000000000015,152.79999999999984,160.99999999999966,191.46666666666636,165.00000000000028,174.66666666666697,1786.0,0,0.0,7.333333333333303
2024-10-01,16.422222222222253,0.0,0,0,126.82222222222178,411.2777777777767,0.0,0.0,116.94444444444417,0.0,0.0,33.766666666666815,145.8666666666665,159.69999999999965,190.3111111111108,163.83333333333363,173.82222222222254,1759.0,0,0.0,7.055555555555525
2024-10-02,15.711111111111142,0.0,0,0,110.91111111111067,401.8888888888878,0.0,0.0,114.22222222222194,0.0,0.0,27.133333333333482,138.93333333333317,158.39999999999964,189.15555555555522,162.66666666666697,172.9777777777781,1732.0,0,0.0,6.7777777777777475
2024-10-03,15.000000000000032,0.0,0,0,94.99999999999956,392.49999999999886,0.0,0.0,111.49999999999972,0.0,0.0,20.50000000000015,131.99999999999983,157.09999999999962,187.99999999999966,161.5000000000003,172.13333333333367,1705.0,0,0.0,6.49999999999997
2024-10-04,14.288888888888922,0.0,0,0,79.08888888888845,383.11111111110995,0.0,0.0,108.77777777777749,0.0,0.0,13.866666666666816,125.06666666666649,155.7999999999996,186.8444444444441,160.33333333333366,171.28888888888923,1678.0,0,0.0,6.222222222222192
2024-10-05,13.577777777777811,0.0,0,0,63.17777777777734,373.72222222222103,0.0,0.0,106.05555555555526,0.0,0.0,7.233333333333483,118.13333333333316,154.4999999999996,185.68888888888853,159.166666666667,170.4444444444448,1651.0,0,0.0,5.944444444444414
2024-10-06,12.866666666666701,0.0,0,0,47.266666666666225,364.3333333333321,0.0,0.0,103.33333333333303,0.0,0.0,0.6000000000001489,111.19999999999982,153.1999999999996,184.53333333333296,158.00000000000034,169.60000000000036,1624.0,0,0.0,5.666666666666637
2024-10-07,12.15555555555559,0.0,0,0,31.355555555555114,354.9444444444432,0.0,0.0,100.6111111111108,0.0,0.0,0.0,104.26666666666648,151.89999999999958,183.3777777777774,156.83333333333368,168.75555555555593,1597.0,0,0.0,5.388888888888859
2024-10-08,11.44444444444448,0.0,0,0,15.444444444444002,345.5555555555543,0.0,0.0,97.88888888888857,0.0,0.0,0.0,97.33333333333314,150.59999999999957,182.22222222222183,155.66666666666703,167.9111111111115,1570.0,0,0.0,5.111111111111081
2024-10-09,10.73333333333337,0.0,0,0,0.0,336.1666666666654,0.0,0.0,95.16666666666634,0.0,0.0,0.0,90.3999999999998,149.29999999999956,181.06666666666626,154.50000000000037,167.06666666666706,1543.0,0,0.0,4.833333333333304
2024-10-10,10.02222222222226,0.0,0,0,0.0,326.77777777777646,0.0,0.0,92.44444444444412,0.0,0.0,0.0,83.46666666666647,147.99999999999955,179.9111111111107,153.3333333333337,166.22222222222263,1516.0,0,0.0,4.555555555555526
2024-10-11,9.311111111111149,0.0,0,0,0.0,317.38888888888755,0.0,0.0,89.72222222222189,0.0,0.0,0.0,76.53333333333313,146.69999999999953,178.75555555555513,152.16666666666706,165.3777777777782,1489.0,0,0.0,4.277777777777748
2024-10-12,8.600000000000039,0.0,0,0,0.0,307.99999999999864,0.0,0.0,86.99999999999966,0.0,0.0,0.0,69.5999999999998,145.39999999999952,177.59999999999957,151.0000000000004,164.53333333333376,1462.0,0,0.0,3.9999999999999707
