SKU,Amazon Sync (Na) FNSKU,Shop Elan Amazon (Na) FNSKU,UPC,Title,Primary Supplier,Brand,Available Quantity,On Hand,Pending (Ready to Ship),Pending (Payment),Reserve,Hold Quantity,Client
6010-972B-BLUE-S,,,4030707274,6010-972B-BLUE-S,LD,6010-972B-BLUE,0,0,0,0,0,0,
6010-972B-BLUE-3XL,,,4030707275,6010-972B-BLUE-3XL,LD,6010-972B-BLUE,0,0,0,0,0,0,
6010-972B-GREY-S,,,4030707276,6010-972B-GREY-S,LD,6010-972B-GREY,0,0,0,0,0,0,
6010-972B-GREY-M,,,4030707277,6010-972B-GREY-M,LD,6010-972B-GREY,0,0,0,0,0,0,
6010-972B-GREY-XL,,,4030707278,6010-972B-GREY-XL,LD,6010-972B-GREY,0,0,0,0,0,0,
6010-972B-GREY-XXL,,,4030707279,6010-972B-GREY-XXL,LD,6010-972B-GREY,0,0,0,0,0,0,
6010-972B-GREY-3XL,,,4030707280,6010-972B-GREY-3XL,LD,6010-972B-GREY,0,0,0,0,0,0,
6010-972B-SAGE-S,,,4030707281,6010-972B-SAGE-S,LD,6010-972B-SAGE,0,0,0,0,0,0,
6010-972B-SAGE-M,,,4030707282,6010-972B-SAGE-M,LD,6010-972B-SAGE,0,0,0,0,0,0,
6010-972B-SAGE-L,,,4030707283,6010-972B-SAGE-L,LD,6010-972B-SAGE,0,0,0,0,0,0,
6010-972B-SAGE-XL,,,4030707284,6010-972B-SAGE-XL,LD,6010-972B-SAGE,0,0,0,0,0,0,
6010-972B-SAGE-XXL,,,4030707285,6010-972B-SAGE-XXL,LD,6010-972B-SAGE,0,0,0,0,0,0,
6010-972B-SAGE-3XL,,,4030707286,6010-972B-SAGE-3XL,LD,6010-972B-SAGE,0,0,0,0,0,0,
6010-972B-KHAKI-S,,,4030707287,6010-972B-KHAKI-S,LD,6010-972B-KHAKI,0,0,0,0,0,0,
6010-972B-KHAKI-M,,,4030707288,6010-972B-KHAKI-M,LD,6010-972B-KHAKI,0,0,0,0,0,0,
6010-972B-KHAKI-L,,,4030707289,6010-972B-KHAKI-L,LD,6010-972B-KHAKI,0,0,0,0,0,0,
6010-972B-KHAKI-XL,,,4030707290,6010-972B-KHAKI-XL,LD,6010-972B-KHAKI,0,0,0,0,0,0,
6010-972B-KHAKI-XXL,,,4030707291,6010-972B-KHAKI-XXL,LD,6010-972B-KHAKI,0,0,0,0,0,0,
6010-972B-KHAKI-3XL,,,4030707292,6010-972B-KHAKI-3XL,LD,6010-972B-KHAKI,0,0,0,0,0,0,
6191-315-BLACK-XXL,,,4030707293,6191-315-BLACK-XXL,LD,6191-315-BLACK,0,0,0,0,0,0,
6191-316-NAVY-L,,,4030707296,6191-316-NAVY-L,LD,6191-316-NAVY,0,0,0,0,0,0,
6191-317-STONE-S,,,4030707297,6191-317-STONE-S,LD,6191-317-STONE,0,0,0,0,0,0,
6191-317-STONE-M,,,4030707298,6191-317-STONE-M,LD,6191-317-STONE,0,0,0,0,0,0,
6191-318-GREY-S,,,4030707299,6191-318-GREY-S,LD,6191-318-GREY,0,0,0,0,0,0,
6191-318-GREY-M,,,4030707300,6191-318-GREY-M,LD,6191-318-GREY,0,0,0,0,0,0,
6191-324-LT.BROWN-S,,,4030707301,6191-324-LT.BROWN-S,LD,6191-324-LT.BROWN,0,0,0,0,0,0,
