,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FDN-N,FDN-P,FBX-N,FBX-P,FST-C,FST-N,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-BE,F-CH,F-DU,F-MX
2024-09-26,0.0,498.70000000000203,602.3666666666671,0.0,424.2999999999983,443.36666666666713,0.0,0.0,204.39999999999927,95.80000000000047,59.166666666666806,25.066666666666443,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-27,0.0,485.400000000002,595.7333333333338,0.0,411.5999999999983,434.7333333333338,0.0,0.0,196.79999999999927,86.40000000000046,52.33333333333347,18.13333333333311,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-28,0.0,472.100000000002,589.1000000000005,0.0,398.89999999999833,426.1000000000005,0.0,0.0,189.19999999999928,77.00000000000045,45.500000000000135,11.199999999999775,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-29,0.0,458.800000000002,582.4666666666672,0.0,386.19999999999834,417.46666666666715,0.0,0.0,181.59999999999928,67.60000000000045,38.6666666666668,4.266666666666442,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-30,0.0,445.500000000002,575.8333333333338,0.0,373.49999999999835,408.8333333333338,0.0,0.0,173.9999999999993,58.20000000000045,31.833333333333467,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-01,0.0,432.200000000002,569.2000000000005,0.0,360.79999999999836,400.2000000000005,0.0,0.0,166.3999999999993,48.80000000000045,25.000000000000135,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-02,0.0,418.90000000000197,562.5666666666672,0.0,348.0999999999984,391.5666666666672,0.0,0.0,158.7999999999993,39.40000000000045,18.166666666666803,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-03,0.0,405.60000000000196,555.9333333333338,0.0,335.3999999999984,382.93333333333385,0.0,0.0,151.1999999999993,30.000000000000455,11.33333333333347,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-04,0.0,392.30000000000194,549.3000000000005,0.0,322.6999999999984,374.3000000000005,0.0,0.0,143.5999999999993,20.600000000000456,4.500000000000138,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-05,0.0,379.00000000000193,542.6666666666672,0.0,309.9999999999984,365.6666666666672,0.0,0.0,135.99999999999932,11.200000000000456,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-06,0.0,365.7000000000019,536.0333333333339,0.0,297.2999999999984,357.03333333333387,0.0,0.0,128.39999999999932,1.8000000000004555,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-07,0.0,352.4000000000019,529.4000000000005,0.0,284.59999999999843,348.40000000000055,0.0,0.0,120.79999999999933,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-08,0.0,339.1000000000019,522.7666666666672,0.0,271.89999999999844,339.7666666666672,0.0,0.0,113.19999999999933,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-09,0.0,325.8000000000019,516.1333333333339,0.0,259.19999999999845,331.1333333333339,0.0,0.0,105.59999999999934,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-10,0.0,312.5000000000019,509.50000000000057,0.0,246.49999999999847,322.50000000000057,0.0,0.0,97.99999999999935,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-11,0.0,299.20000000000186,502.86666666666724,0.0,233.79999999999848,313.86666666666724,0.0,0.0,90.39999999999935,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-12,0.0,285.90000000000185,496.2333333333339,0.0,221.0999999999985,305.2333333333339,0.0,0.0,82.79999999999936,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-13,0.0,272.60000000000184,489.6000000000006,0.0,208.3999999999985,296.6000000000006,0.0,0.0,75.19999999999936,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-14,0.0,259.30000000000183,482.96666666666727,0.0,195.6999999999985,287.96666666666727,0.0,0.0,67.59999999999937,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-15,0.0,246.00000000000182,476.33333333333394,0.0,182.99999999999852,279.33333333333394,0.0,0.0,59.99999999999937,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-16,0.0,232.7000000000018,469.7000000000006,0.0,170.29999999999853,270.7000000000006,0.0,0.0,52.399999999999366,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-17,0.0,219.4000000000018,463.0666666666673,0.0,157.59999999999854,262.0666666666673,0.0,0.0,44.799999999999365,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-18,0.0,206.10000000000178,456.43333333333396,0.0,144.89999999999856,253.43333333333396,0.0,0.0,37.19999999999936,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-19,0.0,192.80000000000177,449.80000000000064,0.0,132.19999999999857,244.80000000000064,0.0,0.0,29.599999999999362,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-20,0.0,179.50000000000176,443.1666666666673,0.0,119.49999999999856,236.1666666666673,0.0,0.0,21.99999999999936,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-21,0.0,166.20000000000175,436.533333333334,0.0,106.79999999999856,227.53333333333399,0.0,0.0,14.39999999999936,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-22,0.0,152.90000000000174,429.90000000000066,0.0,94.09999999999856,218.90000000000066,0.0,0.0,6.799999999999361,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-23,0.0,139.60000000000173,423.26666666666733,0.0,81.39999999999856,210.26666666666733,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-24,0.0,126.30000000000173,416.633333333334,0.0,68.69999999999855,201.633333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-25,0.0,113.00000000000173,410.0000000000007,0.0,55.99999999999855,193.00000000000068,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
