,B-BL,B-BS,B-NL,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FD-N,FD-P,FDN-N,FDN-P,FS-NL,FS-NS,FS-PL,FS-PS,FBX-N,FBX-P,FST-C,FST-N,FL-C,FL-N,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-PB
2024-10-10,0.0,0.0,12.0,67.0,124.0,450.0,258.0,92.0,288.0,56.0,28.0,119.0,110.0,47.0,84.0,87.0,5.0,92.0,98.0,254.0,203.0,67.0,14.0,0,0.0,0.0,0.0,0,0.0
2024-10-11,0.0,0.0,10.0,0.0,101.0,443.0,184.0,66.0,278.0,55.0,26.0,104.0,96.0,38.0,79.0,79.0,0.0,68.0,74.0,240.0,189.0,61.0,6.0,0,0.0,0.0,0.0,0,0.0
2024-10-12,0.0,0.0,8.0,0.0,78.0,436.0,110.0,40.0,268.0,54.0,24.0,89.0,82.0,29.0,74.0,71.0,0.0,44.0,50.0,226.0,175.0,55.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-13,0.0,0.0,6.0,0.0,55.0,429.0,36.0,14.0,258.0,53.0,22.0,74.0,68.0,20.0,69.0,63.0,0.0,20.0,26.0,212.0,161.0,49.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-14,0.0,0.0,4.0,0.0,32.0,422.0,0.0,0.0,248.0,52.0,20.0,59.0,54.0,11.0,64.0,55.0,0.0,0.0,2.0,198.0,147.0,43.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-15,0.0,0.0,2.0,0.0,9.0,415.0,0.0,0.0,238.0,51.0,18.0,44.0,40.0,2.0,59.0,47.0,0.0,0.0,0.0,184.0,133.0,37.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-16,0.0,0.0,0.0,0.0,0.0,408.0,0.0,0.0,228.0,50.0,16.0,29.0,26.0,0.0,54.0,39.0,0.0,0.0,0.0,170.0,119.0,31.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-17,0.0,0.0,0.0,0.0,0.0,401.0,0.0,0.0,218.0,49.0,14.0,14.0,12.0,0.0,49.0,31.0,0.0,0.0,0.0,156.0,105.0,25.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-18,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,208.0,48.0,12.0,0.0,0.0,0.0,44.0,23.0,0.0,0.0,0.0,142.0,91.0,19.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-19,0.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,198.0,47.0,10.0,0.0,0.0,0.0,39.0,15.0,0.0,0.0,0.0,128.0,77.0,13.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-20,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,188.0,46.0,8.0,0.0,0.0,0.0,34.0,7.0,0.0,0.0,0.0,114.0,63.0,7.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-21,0.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,178.0,45.0,6.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,100.0,49.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-22,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,168.0,44.0,4.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,86.0,35.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-23,0.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,158.0,43.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,72.0,21.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-24,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,148.0,42.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,58.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-25,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,138.0,41.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-26,0.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,128.0,40.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-27,0.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,118.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-28,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,108.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-29,0.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0,98.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-30,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,88.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-10-31,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,78.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,68.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-02,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,58.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-03,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,48.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-04,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,38.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-05,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,28.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-06,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,18.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-07,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-08,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-09,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-10,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-11,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-12,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-13,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-14,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-15,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-16,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-17,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-18,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-19,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-20,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-21,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-22,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-23,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-24,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-25,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-26,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-27,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-28,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-29,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-11-30,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-02,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-03,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-04,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-05,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-06,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-07,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-08,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-09,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-10,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-11,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-12,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-13,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2024-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
