,B-BS,B-NL,B-PS,FB-NXL,FDN-N,FDN-P,FS-NL,FS-PL,FBX-N,FBX-P,F-BE90,F-CH90,F-MX90,F-PB
2024-02-07,14.666666666666663,197.8333333333334,210.5,229.33333333333326,459.66666666666634,465.6666666666663,0.0,34.6666666666666,192.99999999999963,202.16666666666632,9.666666666666625,4.166666666666676,320.8333333333328,0.0
2024-02-08,13.999999999999996,196.80000000000007,209.0,227.59999999999994,454.5999999999997,460.5999999999996,0.0,32.19999999999993,191.19999999999962,200.39999999999964,8.599999999999959,3.4000000000000092,306.9999999999995,0.0
2024-02-09,13.33333333333333,195.76666666666674,207.5,225.86666666666662,449.533333333333,455.53333333333296,0.0,29.733333333333263,189.3999999999996,198.63333333333296,7.533333333333292,2.6333333333333426,293.1666666666662,0.0
2024-02-10,12.666666666666664,194.7333333333334,206.0,224.1333333333333,444.46666666666636,450.4666666666663,197.43333333333334,27.266666666666595,187.5999999999996,196.86666666666628,6.466666666666626,1.866666666666676,279.33333333333286,0.0
2024-02-11,11.999999999999998,193.70000000000007,204.5,222.39999999999998,439.3999999999997,445.39999999999964,194.86666666666667,24.799999999999926,185.79999999999959,195.0999999999996,5.3999999999999595,1.1000000000000094,265.49999999999955,0.0
2024-02-12,11.333333333333332,192.66666666666674,203.0,220.66666666666666,434.33333333333303,440.333333333333,192.3,222.33333333333326,183.99999999999957,193.33333333333292,4.333333333333293,0.3333333333333427,251.6666666666662,0.0
2024-02-13,10.666666666666666,191.6333333333334,201.5,218.93333333333334,429.26666666666637,435.2666666666663,189.73333333333335,219.8666666666666,182.19999999999956,191.56666666666624,3.2666666666666266,0.0,237.83333333333286,0.0
2024-02-14,10.0,190.60000000000008,200.0,217.20000000000002,424.1999999999997,430.19999999999965,187.16666666666669,217.39999999999992,180.39999999999955,189.79999999999956,2.19999999999996,0.0,223.99999999999952,0.0
2024-02-15,9.333333333333334,189.56666666666675,198.5,215.4666666666667,419.13333333333304,425.133333333333,184.60000000000002,214.93333333333325,178.59999999999954,188.03333333333288,101.1333333333333,0.0,210.16666666666617,0.0
2024-02-16,8.666666666666668,188.53333333333342,197.0,213.73333333333338,414.0666666666664,420.0666666666663,182.03333333333336,212.46666666666658,176.79999999999953,186.2666666666662,100.06666666666663,99.23333333333333,196.33333333333283,0.0
