,B-BL,B-PL,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FDN-P,FS-NL,F-MX90
2024-06-12,3.166666666666675,0.0,0.0,31.666666666666575,18.83333333333331,0.0,0.0,0.0,401.8333333333326,118.83333333333329,0.0
2024-06-13,1.7333333333333416,0.0,0.0,23.733333333333242,13.666666666666643,0.0,0.0,0.0,390.2666666666659,114.86666666666662,0.0
2024-06-14,0.30000000000000826,0.0,0.0,15.799999999999908,8.499999999999975,0.0,0.0,0.0,378.69999999999925,110.89999999999995,0.0
2024-06-15,0.0,0.0,0.0,7.866666666666575,3.333333333333308,0.0,0.0,0.0,367.1333333333326,106.93333333333328,0.0
2024-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.5666666666659,102.96666666666661,0.0
2024-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.99999999999926,98.99999999999994,0.0
2024-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.4333333333326,95.03333333333327,0.0
2024-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.86666666666594,91.0666666666666,0.0
2024-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.2999999999993,87.09999999999994,0.0
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.7333333333326,83.13333333333327,0.0
2024-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.16666666666595,79.1666666666666,0.0
2024-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.5999999999993,75.19999999999993,0.0
2024-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0333333333326,71.23333333333326,0.0
2024-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.46666666666596,67.2666666666666,0.0
2024-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.8999999999993,63.299999999999926,0.0
2024-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.33333333333263,59.33333333333326,0.0
2024-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.76666666666597,55.36666666666659,0.0
2024-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.1999999999993,51.39999999999992,0.0
2024-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.63333333333264,47.43333333333325,0.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.06666666666598,43.46666666666658,0.0
2024-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.49999999999932,39.499999999999915,0.0
