,B-BS,B-NL,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FDN-P,F-BE90,F-CH90,F-LI90,F-MX90
2024-06-30,0,10.243835616438371,127.62739726027411,120.71780821917827,153.98356164383574,123.4958904109586,121.00273972602717,149.49589041095857,123.0739726027397,0.0,0.0,0.0,1058.6191780821903
2024-07-01,0,9.42465753424659,124.8438356164385,117.66849315068512,152.21369863013712,120.55342465753394,117.96438356164361,147.5534246575339,118.90410958904107,0.0,0.0,0.0,1051.1232876712313
2024-07-02,0,8.605479452054809,122.06027397260289,114.61917808219198,150.4438356164385,117.61095890410928,114.92602739726006,145.61095890410922,114.73424657534244,0.0,0.0,0.0,1043.6273972602723
2024-07-03,0,7.786301369863028,119.27671232876727,111.56986301369884,148.67397260273987,114.66849315068463,111.8876712328765,143.66849315068455,110.56438356164381,0.0,0.0,0.0,1036.1315068493134
2024-07-04,0,6.967123287671248,116.49315068493166,108.52054794520569,146.90410958904124,111.72602739725997,108.84931506849294,141.72602739725988,106.39452054794518,0.0,0.0,0.0,1028.6356164383544
2024-07-05,0,6.147945205479467,113.70958904109605,105.47123287671255,145.13424657534262,108.78356164383531,105.81095890410938,139.7835616438352,102.22465753424655,0.0,0.0,0.0,1021.1397260273956
2024-07-06,0,5.328767123287687,110.92602739726044,102.4219178082194,143.364383561644,105.84109589041066,102.77260273972583,137.84109589041054,98.05479452054792,0.0,0.0,0.0,1013.6438356164367
2024-07-07,0,4.509589041095906,108.14246575342483,99.37260273972626,141.59452054794536,102.898630136986,99.73424657534227,135.89863013698587,93.88493150684928,0.0,0.0,0.0,1006.1479452054779
2024-07-08,0,3.6904109589041254,105.35890410958922,96.32328767123312,139.82465753424674,99.95616438356134,96.69589041095871,133.9561643835612,89.71506849315065,0.0,0.0,0.0,998.652054794519
2024-07-09,0,2.8712328767123445,102.57534246575361,93.27397260273997,138.0547945205481,97.01369863013669,93.65753424657515,132.01369863013653,85.54520547945202,0.0,0.0,0.0,991.1561643835602
2024-07-10,0,2.0520547945205636,99.791780821918,90.22465753424683,136.2849315068495,94.07123287671203,90.6191780821916,130.07123287671186,81.37534246575339,0.0,0.0,0.0,983.6602739726013
2024-07-11,0,1.2328767123287827,97.00821917808238,87.17534246575369,134.51506849315086,91.12876712328737,87.58082191780804,128.1287671232872,77.20547945205476,0.0,0.0,0.0,976.1643835616425
2024-07-12,0,0.4136986301370019,94.22465753424677,84.12602739726054,132.74520547945224,88.18630136986272,84.54246575342448,126.18630136986253,73.03561643835613,0.0,0.0,0.0,968.6684931506836
2024-07-13,0,0.0,91.44109589041116,81.0767123287674,130.9753424657536,85.24383561643806,81.50410958904092,124.24383561643788,68.8657534246575,0.0,0.0,0.0,961.1726027397248
2024-07-14,0,0.0,88.65753424657555,78.02739726027426,129.205479452055,82.3013698630134,78.46575342465736,122.30136986301322,64.69589041095887,0.0,0.0,0.0,953.6767123287659
2024-07-15,0,0.0,85.87397260273994,74.97808219178111,127.43561643835636,79.35890410958875,75.4273972602738,120.35890410958856,60.526027397260236,0.0,0.0,0.0,946.1808219178071
2024-07-16,0,0.0,83.09041095890433,71.92876712328797,125.66575342465774,76.4164383561641,72.38904109589025,118.41643835616391,56.356164383561605,0.0,0.0,0.0,938.6849315068482
2024-07-17,0,0.0,80.30684931506872,68.87945205479483,123.89589041095911,73.47397260273944,69.35068493150669,116.47397260273925,52.186301369862974,0.0,0.0,0.0,931.1890410958894
2024-07-18,0,0.0,77.5232876712331,65.83013698630168,122.12602739726049,70.53150684931478,66.31232876712313,114.5315068493146,48.01643835616434,0.0,0.0,0.0,923.6931506849305
2024-07-19,0,0.0,74.7397260273975,62.78082191780853,120.35616438356186,67.58904109589012,63.27397260273957,112.58904109588994,43.84657534246571,0.0,0.0,0.0,916.1972602739717
2024-07-20,0,0.0,71.95616438356188,59.73150684931538,118.58630136986324,64.64657534246547,60.235616438356004,110.64657534246528,39.67671232876708,0.0,0.0,0.0,908.7013698630128
2024-07-21,0,0.0,69.17260273972627,56.68219178082223,116.81643835616461,61.70410958904081,57.19726027397244,108.70410958904063,35.50684931506845,0.0,0.0,0.0,901.205479452054
2024-07-22,0,0.0,66.38904109589066,53.63287671232908,115.04657534246599,58.761643835616155,54.158904109588875,106.76164383561597,31.33698630136982,0.0,0.0,0.0,893.7095890410951
2024-07-23,0,0.0,63.60547945205504,50.58356164383593,113.27671232876736,55.8191780821915,51.12054794520531,104.81917808219131,27.16712328767119,0.0,0.0,0.0,886.2136986301363
2024-07-24,0,0.0,60.821917808219425,47.53424657534278,111.50684931506873,52.87671232876684,48.082191780821745,102.87671232876666,22.997260273972557,0.0,0.0,0.0,878.7178082191774
2024-07-25,0,0.0,58.038356164383806,44.48493150684963,109.73698630137011,49.934246575342186,45.04383561643818,100.934246575342,18.827397260273926,0.0,0.0,0.0,871.2219178082186
2024-07-26,0,0.0,55.25479452054819,41.435616438356476,107.96712328767148,46.99178082191753,42.005479452054615,98.99178082191735,14.657534246575295,0.0,0.0,0.0,863.7260273972597
2024-07-27,0,0.0,52.47123287671257,38.386301369863325,106.19726027397286,44.049315068492874,38.96712328767105,97.04931506849269,10.487671232876664,0.0,0.0,0.0,856.2301369863009
2024-07-28,0,0.0,49.68767123287695,35.336986301370175,104.42739726027423,41.10684931506822,35.928767123287486,95.10684931506803,6.317808219178034,0.0,0.0,0.0,848.734246575342
2024-07-29,0,0.0,46.90410958904133,32.287671232877024,102.65753424657561,38.16438356164356,32.89041095890392,93.16438356164338,2.147945205479404,0.0,0.0,0.0,841.2383561643832
2024-07-30,0,0.0,44.120547945205715,29.238356164383873,100.88767123287698,35.221917808218905,29.85205479452036,91.22191780821872,0.0,0.0,0.0,0.0,833.7424657534243
2024-07-31,0,0.0,41.336986301370096,26.189041095890722,99.11780821917836,32.27945205479425,26.8136986301368,89.27945205479406,0.0,0.0,0.0,0.0,826.2465753424655
2024-08-01,0,0.0,38.55342465753448,23.139726027397572,97.34794520547973,29.336986301369592,23.775342465753237,87.33698630136941,0.0,0.0,0.0,0.0,818.7506849315066
2024-08-02,0,0.0,35.76986301369886,20.09041095890442,95.5780821917811,26.394520547944936,20.736986301369676,85.39452054794475,0.0,0.0,0.0,0.0,811.2547945205478
2024-08-03,0,0.0,32.98630136986324,17.04109589041127,93.80821917808248,23.45205479452028,17.698630136986115,83.4520547945201,0.0,0.0,0.0,0.0,803.7589041095889
2024-08-04,0,0.0,30.202739726027623,13.99178082191812,92.03835616438386,20.509589041095623,14.660273972602553,81.50958904109544,0.0,0.0,0.0,0.0,796.2630136986301
