,FB-NXL,FB-NL,FB-PXL,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-MX
2024-09-07,1011.9999999999983,986.8000000000011,1630.6000000000001,187.1666666666666,196.0,186.46666666666664,191.36666666666676,2958.8999999999996,0
2024-09-08,987.5999999999983,975.2000000000011,1598.4,185.33333333333326,194.0,184.5333333333333,190.13333333333344,2948.5999999999995,0
2024-09-09,963.1999999999983,963.600000000001,1566.2,183.49999999999991,192.0,182.59999999999997,188.90000000000012,2938.2999999999993,0
2024-09-10,938.7999999999984,952.000000000001,1534.0,181.66666666666657,190.0,180.66666666666663,187.6666666666668,2927.999999999999,0
2024-09-11,914.3999999999984,940.400000000001,1501.8,179.83333333333323,188.0,178.7333333333333,186.43333333333348,2917.699999999999,0
2024-09-12,889.9999999999984,928.800000000001,1469.6,177.9999999999999,186.0,176.79999999999995,185.20000000000016,2907.3999999999987,0
2024-09-13,865.5999999999984,917.200000000001,1437.3999999999999,176.16666666666654,184.0,174.86666666666662,183.96666666666684,2897.0999999999985,0
2024-09-14,841.1999999999985,905.6000000000009,1405.1999999999998,174.3333333333332,182.0,172.93333333333328,182.73333333333352,2886.7999999999984,0
2024-09-15,816.7999999999985,894.0000000000009,1372.9999999999998,172.49999999999986,180.0,170.99999999999994,181.5000000000002,2876.499999999998,0
2024-09-16,792.3999999999985,882.4000000000009,1340.7999999999997,170.66666666666652,178.0,169.0666666666666,180.26666666666688,2866.199999999998,0
2024-09-17,767.9999999999985,870.8000000000009,1308.5999999999997,168.83333333333317,176.0,167.13333333333327,179.03333333333356,2855.899999999998,0
2024-09-18,743.5999999999985,859.2000000000008,1276.3999999999996,166.99999999999983,174.0,165.19999999999993,177.80000000000024,2845.5999999999976,0
2024-09-19,719.1999999999986,847.6000000000008,1244.1999999999996,165.1666666666665,172.0,163.2666666666666,176.56666666666692,2835.2999999999975,0
